state,action,reward,next_state,done
151,0,-1,251,False
251,3,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
434,1,-1,334,False
334,1,-1,234,False
234,2,-1,254,False
254,2,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
354,1,-1,254,False
254,2,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
344,1,-1,244,False
244,1,-1,144,False
144,2,-1,164,False
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
413,1,-1,313,False
313,1,-1,213,False
213,2,-1,233,False
233,2,-1,253,False
253,2,-1,273,False
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
7,0,-1,107,False
107,0,-1,207,False
207,2,-1,227,False
227,2,-1,247,False
247,1,-1,147,False
147,1,-1,47,False
47,2,-1,67,False
67,2,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
13,0,-1,113,False
113,0,-1,213,False
213,2,-1,233,False
233,2,-1,253,False
253,2,-1,273,False
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
287,1,-1,187,False
187,1,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
48,0,-1,148,False
148,0,-1,248,False
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
252,2,-1,272,False
272,0,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
33,0,-1,133,False
133,0,-1,233,False
233,2,-1,253,False
253,2,-1,273,False
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
491,1,-1,391,False
391,1,-1,291,False
291,3,-1,271,False
271,3,-1,251,False
251,3,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
442,1,-1,342,False
342,1,-1,242,False
242,3,-1,222,False
222,1,-1,122,False
122,1,-1,22,False
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
291,3,-1,271,False
271,3,-1,251,False
251,3,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
204,2,-1,224,False
224,2,-1,244,False
244,1,-1,144,False
144,2,-1,164,False
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
427,1,-1,327,False
327,1,-1,227,False
227,2,-1,247,False
247,1,-1,147,False
147,1,-1,47,False
47,2,-1,67,False
67,2,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
61,0,-1,161,False
161,3,-1,141,False
141,0,-1,241,False
241,3,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
186,1,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
462,1,-1,362,False
362,1,-1,262,False
262,3,-1,242,False
242,3,-1,222,False
222,1,-1,122,False
122,1,-1,22,False
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
126,0,-1,226,False
226,2,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
407,1,-1,307,False
307,1,-1,207,False
207,2,-1,227,False
227,2,-1,247,False
247,1,-1,147,False
147,1,-1,47,False
47,2,-1,67,False
67,2,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
382,3,-1,362,False
362,1,-1,262,False
262,3,-1,242,False
242,3,-1,222,False
222,1,-1,122,False
122,1,-1,22,False
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
369,1,-1,269,False
269,3,-1,249,False
249,3,-1,229,False
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
106,0,-1,206,False
206,2,-1,226,False
226,2,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
454,1,-1,354,False
354,1,-1,254,False
254,2,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
11,0,-1,111,False
111,0,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
128,3,-1,108,False
108,0,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
321,1,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
203,1,-1,103,False
103,1,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
92,0,-1,192,False
192,0,-1,292,False
292,3,-1,272,False
272,0,-1,372,False
372,0,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
271,3,-1,251,False
251,3,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
43,0,-1,143,False
143,0,-1,243,False
243,3,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
368,1,-1,268,False
268,3,-1,248,False
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
344,1,-1,244,False
244,1,-1,144,False
144,2,-1,164,False
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
348,1,-1,248,False
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
307,1,-1,207,False
207,2,-1,227,False
227,2,-1,247,False
247,1,-1,147,False
147,1,-1,47,False
47,2,-1,67,False
67,2,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
261,3,-1,241,False
241,3,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
467,2,-1,487,False
487,1,-1,387,False
387,1,-1,287,False
287,1,-1,187,False
187,1,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
28,0,-1,128,False
128,3,-1,108,False
108,0,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
168,3,-1,148,False
148,0,-1,248,False
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
129,0,-1,229,False
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
321,1,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
394,3,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
124,0,-1,224,False
224,2,-1,244,False
244,1,-1,144,False
144,2,-1,164,False
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
253,2,-1,273,False
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
451,3,-1,431,False
431,1,-1,331,False
331,1,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
426,1,-1,326,False
326,1,-1,226,False
226,2,-1,246,False
246,1,-1,146,False
146,1,-1,46,False
46,2,-1,66,False
66,2,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
351,3,-1,331,False
331,1,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
429,1,-1,329,False
329,1,-1,229,False
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
271,3,-1,251,False
251,3,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
53,2,-1,73,False
73,0,-1,173,False
173,0,-1,273,False
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
124,0,-1,224,False
224,2,-1,244,False
244,1,-1,144,False
144,2,-1,164,False
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
322,1,-1,222,False
222,1,-1,122,False
122,1,-1,22,False
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
342,1,-1,242,False
242,3,-1,222,False
222,1,-1,122,False
122,1,-1,22,False
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
234,2,-1,254,False
254,2,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
429,1,-1,329,False
329,1,-1,229,False
229,3,-1,209,False
209,0,-1,309,False
309,0,-1,409,False
409,4,-1,417,False
417,1,-1,317,False
317,1,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
88,0,-1,188,False
188,0,-1,288,False
288,3,-1,268,False
268,3,-1,248,False
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
201,1,-1,101,False
101,1,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
364,1,-1,264,False
264,1,-1,164,False
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
33,0,-1,133,False
133,0,-1,233,False
233,2,-1,253,False
253,2,-1,273,False
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
321,1,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
43,0,-1,143,False
143,0,-1,243,False
243,3,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
253,2,-1,273,False
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
253,2,-1,273,False
273,0,-1,373,False
373,0,-1,473,False
473,4,-1,477,False
477,1,-1,377,False
377,1,-1,277,False
277,1,-1,177,False
177,1,-1,77,False
77,2,-1,97,False
97,5,20,85,True
103,1,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
91,0,-1,191,False
191,3,-1,171,False
171,0,-1,271,False
271,3,-1,251,False
251,3,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
222,1,-1,122,False
122,1,-1,22,False
22,3,-1,2,False
2,4,-1,18,False
18,0,-1,118,False
118,0,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
454,1,-1,354,False
354,1,-1,254,False
254,2,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
14,0,-1,114,False
114,0,-1,214,False
214,2,-1,234,False
234,2,-1,254,False
254,2,-1,274,False
274,0,-1,374,False
374,0,-1,474,False
474,4,-1,478,False
478,1,-1,378,False
378,1,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
148,0,-1,248,False
248,3,-1,228,False
228,3,-1,208,False
208,0,-1,308,False
308,0,-1,408,False
408,4,-1,416,False
416,1,-1,316,False
316,1,-1,216,False
216,1,-1,116,False
116,1,-1,16,False
16,5,20,0,True
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
266,2,-1,286,False
286,1,-1,186,False
186,1,-1,86,False
86,4,-1,98,False
98,0,-1,198,False
198,0,-1,298,False
298,3,-1,278,False
278,3,-1,258,False
258,3,-1,238,False
238,3,-1,218,False
218,0,-1,318,False
318,0,-1,418,False
418,5,20,410,True
7,0,-1,107,False
107,0,-1,207,False
207,2,-1,227,False
227,2,-1,247,False
247,1,-1,147,False
147,1,-1,47,False
47,2,-1,67,False
67,2,-1,87,False
87,4,-1,99,False
99,0,-1,199,False
199,0,-1,299,False
299,0,-1,399,False
399,0,-1,499,False
499,3,-1,479,False
479,5,20,475,True
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
144,2,-1,164,False
164,1,-1,64,False
64,2,-1,84,False
84,4,-1,96,False
96,0,-1,196,False
196,0,-1,296,False
296,3,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
263,3,-1,243,False
243,3,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
371,1,-1,271,False
271,3,-1,251,False
251,3,-1,231,False
231,3,-1,211,False
211,0,-1,311,False
311,0,-1,411,False
411,4,-1,419,False
419,1,-1,319,False
319,1,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
492,3,-1,472,False
472,4,-1,476,False
476,1,-1,376,False
376,1,-1,276,False
276,3,-1,256,False
256,3,-1,236,False
236,1,-1,136,False
136,1,-1,36,False
36,3,-1,16,False
16,5,20,0,True
83,0,-1,183,False
183,0,-1,283,False
283,3,-1,263,False
263,3,-1,243,False
243,3,-1,223,False
223,1,-1,123,False
123,1,-1,23,False
23,3,-1,3,False
3,4,-1,19,False
19,0,-1,119,False
119,0,-1,219,False
219,2,-1,239,False
239,2,-1,259,False
259,2,-1,279,False
279,0,-1,379,False
379,0,-1,479,False
479,5,20,475,True
421,1,-1,321,False
321,1,-1,221,False
221,1,-1,121,False
121,1,-1,21,False
21,3,-1,1,False
1,4,-1,17,False
17,0,-1,117,False
117,0,-1,217,False
217,2,-1,237,False
237,2,-1,257,False
257,1,-1,157,False
157,1,-1,57,False
57,2,-1,77,False
77,2,-1,97,False
97,5,20,85,True
47,2,-1,67,False
67,2,-1,87,False
